Duration (in seconds),ResponseId,Q186,Age,Gender,Ethnicity,Eth-ori,Edu,SJS-Intro,SJS-1,SJS-2,SJS-3,SRPS-Intro,SRPS-1,SRPS-2,SRPS-3,SRPS-4,SRPS-5,SRPS-6,SRPS-7,SRPS-8,SRPS-9,SRPS-10,SRPS-11,SRPS-12,SRPS-13,SRPS-14,SRPS-15,SRPS-Change,SRPS-17,SRPS-18,SRPS-19,SRPS-20,SRPS-21,SRPS-22,SRPS-23,SRPS-24,SSES-Intro,SSES-1,SSES-2,SSES-3,SSES-4,SSES-5,SSES-6,SSES-7,SSES-8,SSES-9,SSES-10,Spite-Intro,Spite-1,Spite-2,Spite-3,Spite-4,Spite-5,Spite-6,Spite-7,Spite-8,Spite-9,Spite-10,Spite-11,Spite-12,Spite-13,Spite-14,Spite-15,Spite-16,Q187,DoPL_1,DoPL_2,DoPL_3,DoPL_4,DoPL_5,DoPL_6,DoPL_7,DoPL_8,DoPL_9,DoPL_10,DoPL_11,DoPL_12,DoPL_13,DoPL_14,DoPL_15,DoPL_16,DoPL_17,DoPL_18,UMS_1,UMS_2,UMS_3,UMS_4,UMS_5,UMS_6,UMS_7,UMS_8,UMS_9,UMS_10,UMS_11,UMS_12,DoPL_26,Vign-Intro,Vign-1,Vign-2,Vign-3,Vign-4,Vign-5,Vign-6,Vign-7,Vign-8,Vign-9,Vign-10,Real-1,Real-2,Real-3,Real-4,Real-5,Real-6,Real-7,Real-8,Real-9,Real-10,Prolific,PROLIFIC_PID
788,R_1i84yX5nXIJUuG5,60151380a2273d594f63aae3,45,Male,Mixed or Multiple ethnic origins,Scottish,University Undergraduate Program,3,Strongly disagree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,5,Both of You Equally,Both of You Equally,You,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,3,Agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,"2,3",Disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,"1,5",Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Of Some Importance To Me,Important To Me,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Very Important To me,Important To Me,Important To Me,Strongly agree,1,Very justified,Neither justified or unjustified,Not justified at all,Somewhat unjustified,Not justified at all,Slightly justified,Somewhat unjustified,Slightly justified,Somewhat unjustified,Somewhat unjustified,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,1533624,60151380a2273d594f63aae3
795,R_3MmpnwvPJbPyUDz,5f4e97aae4fe380a7bad99c7,23,Male,White,European,University Undergraduate Program,3,Disagree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,3,Agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,"2,3",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,"1,5",Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Somewhat disagree,Disagree,Of Little Importance To me,Of Little Importance To me,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Of Some Importance To Me,Of Little Importance To me,Important To Me,Strongly agree,1,Not justified at all,Not justified at all,Not justified at all,Not justified at all,Not justified at all,Very justified,Not justified at all,Somewhat unjustified,Neither justified or unjustified,Not justified at all,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,4352377,5f4e97aae4fe380a7bad99c7
851,R_1dKzJwohPKZl3fY,5fe5e424a53c573e8eed248d,18,Female,Asian or Asian Scottish or Asian British,Asian,GCSes or Equivalent,3,Somewhat agree,Somewhat disagree,Somewhat agree,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,5,Both of You Equally,Both of You Equally,Your Partner,Both of You Equally,You,Both of You Equally,Both of You Equally,Both of You Equally,3,Slightly agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,"2,3",Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,"1,5",Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Important To Me,Important To Me,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Of Some Importance To Me,Important To Me,Of Some Importance To Me,Strongly agree,1,Somewhat unjustified,Neither justified or unjustified,Slightly justified,Somewhat unjustified,Neither justified or unjustified,Slightly justified,Neither justified or unjustified,Slightly justified,Slightly justified,Somewhat unjustified,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,6737687,5fe5e424a53c573e8eed248d
860,R_3n6Pb5fjq4khWie,5fd8a13aaf5bd723a0e0e3fa,28,Male,White,European,University Undergraduate Program,3,Strongly disagree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,3,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,"2,3",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,"1,5",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Disagree,Agree,Strongly disagree,Disagree,Extremely Important To Me,Very Important To me,Disagree,Strongly disagree,Disagree,Somewhat agree,Strongly agree,Disagree,Agree,Strongly agree,Somewhat agree,Very Important To me,Important To Me,Very Important To me,Strongly agree,1,Slightly justified,Not justified at all,Not justified at all,Not justified at all,Somewhat unjustified,Slightly justified,Not justified at all,Not justified at all,Slightly justified,Not justified at all,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,8081092,5fd8a13aaf5bd723a0e0e3fa
862,R_z76vNZYKOn3qKjv,605663e5147a7b66e6853a0b,22,Male,White,European,University Post-Graduate Program,3,Agree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,5,Both of You Equally,Your Partner,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Your Partner,3,Agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly disagree,Neither agree nor disagree,Slightly agree,Slightly agree,"2,3",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,"1,5",Agree,Agree,Agree,Somewhat disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Strongly agree,Extremely Important To Me,Extremely Important To Me,Agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Somewhat disagree,Extremely Important To Me,Extremely Important To Me,Of Little Importance To me,Strongly agree,1,Neither justified or unjustified,Not justified at all,Not justified at all,Not justified at all,Not justified at all,Slightly justified,Slightly justified,Neither justified or unjustified,Somewhat unjustified,Not justified at all,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,8759926,605663e5147a7b66e6853a0b
883,R_2EcS3tfhl0WAo8a,5c7c3a866fa756000182443e,25,Female,White,European,University Undergraduate Program,3,Agree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,3,Agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Neither agree nor disagree,"2,3",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,"1,5",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Agree,Agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Very Important To me,Important To Me,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Very Important To me,Very Important To me,Very Important To me,Strongly agree,1,Very justified,Slightly justified,Not justified at all,Not justified at all,Not justified at all,Very justified,Not justified at all,Not justified at all,Somewhat unjustified,Not justified at all,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,4577572,5c7c3a866fa756000182443e
874,R_1IF9Qyzb5kyVwJw,5f88b84b13470709b33a0f99,21,Male,White,European,University Post-Graduate Program,3,Somewhat disagree,Disagree,Somewhat agree,2,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,5,Your Partner,Both of You Equally,Your Partner,Both of You Equally,You,Both of You Equally,Both of You Equally,You,3,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,"2,3",Agree,Somewhat disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,"1,5",Somewhat agree,Somewhat disagree,Strongly agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Extremely Important To Me,Extremely Important To Me,Disagree,Disagree,Agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Agree,Extremely Important To Me,Extremely Important To Me,Extremely Important To Me,Strongly agree,1,Slightly justified,Somewhat unjustified,Not justified at all,Somewhat unjustified,Slightly justified,Somewhat unjustified,Somewhat unjustified,Slightly justified,Not justified at all,Somewhat unjustified,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,4117223,5f88b84b13470709b33a0f99
884,R_ZqMmPw8MSl1xnK9,60412115bf7f41052145d851,20,Male,White,European,A-Levels or Equivalent,3,Somewhat agree,Disagree,Disagree,2,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,3,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,Slightly disagree,Slightly disagree,"2,3",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,"1,5",Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Strongly disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Important To Me,Important To Me,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Disagree,Extremely Important To Me,Very Important To me,Extremely Important To Me,Strongly agree,1,Slightly justified,Slightly justified,Somewhat unjustified,Somewhat unjustified,Neither justified or unjustified,Not justified at all,Somewhat unjustified,Not justified at all,Slightly justified,Neither justified or unjustified,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,7951917,60412115bf7f41052145d851
890,R_31jBzwIXN9Fke1N,5c744efb26920800143fd75d,23,Female,White,European,University Undergraduate Program,3,Somewhat disagree,Disagree,Disagree,2,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,3,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,"2,3",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,"1,5",Disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Disagree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Disagree,Of Some Importance To Me,Of Some Importance To Me,Somewhat disagree,Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Extremely Important To Me,Very Important To me,Extremely Important To Me,Strongly agree,1,Very justified,Neither justified or unjustified,Not justified at all,Not justified at all,Not justified at all,Slightly justified,Not justified at all,Not justified at all,Slightly justified,Somewhat unjustified,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,7451094,5c744efb26920800143fd75d
875,R_1FLdkdieThAiyw2,6089f9a1b837632da7f61e4f,30,Female,Asian or Asian Scottish or Asian British,Asian,University Post-Graduate Program,3,Strongly disagree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,5,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,Both of You Equally,3,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Slightly agree,Disagree,Disagree,"2,3",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,"1,5",Agree,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Important To Me,Of Some Importance To Me,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Extremely Important To Me,Important To Me,Extremely Important To Me,Strongly agree,1,Very justified,Not justified at all,Not justified at all,Not justified at all,Not justified at all,Very justified,Not justified at all,Not justified at all,Neither justified or unjustified,Not justified at all,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,1311680,6089f9a1b837632da7f61e4f
911,R_2V4QIlQtqJ0zPtS,5f6ce3aa36f6181177e93f0f,21,Female,White,European,University Undergraduate Program,3,Agree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,5,You,Both of You Equally,Both of You Equally,Both of You Equally,You,Both of You Equally,Both of You Equally,Your Partner,3,Agree,Slightly agree,Neither agree nor disagree,Slightly disagree,Disagree,Slightly agree,Disagree,Agree,Disagree,Slightly disagree,"2,3",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,"1,5",Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Strongly disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Of Little Importance To me,Important To Me,Somewhat agree,Strongly agree,Agree,Strongly agree,Somewhat disagree,Agree,Strongly agree,Strongly agree,Somewhat agree,Extremely Important To Me,Extremely Important To Me,Extremely Important To Me,Strongly agree,1,Slightly justified,Not justified at all,Not justified at all,Not justified at all,Not justified at all,Very justified,Not justified at all,Not justified at all,Slightly justified,Neither justified or unjustified,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,4500041,5f6ce3aa36f6181177e93f0f
999,R_3LZ0b5hYSuk9uti,5ff5dcbade4fe70b5d02f6f0,23,Female,White,English,University Undergraduate Program,3,Disagree,Disagree,Somewhat disagree,2,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Disagree,5,Both of You Equally,Your Partner,Both of You Equally,Both of You Equally,Both of You Equally,You,Both of You Equally,Both of You Equally,3,Agree,Slightly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Agree,Disagree,Slightly agree,"2,3",Disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,"1,5",Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Of Little Importance To me,Of Little Importance To me,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Agree,Strongly agree,Very Important To me,Extremely Important To Me,Extremely Important To Me,Strongly agree,1,Slightly justified,Somewhat unjustified,Not justified at all,Not justified at all,Not justified at all,Slightly justified,Not justified at all,Not justified at all,Neither justified or unjustified,Slightly justified,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,7955125,5ff5dcbade4fe70b5d02f6f0
963,R_2CxoHKUXzdqBTOL,60638524727078f941e4d973,20,Male,White,European,A-Levels or Equivalent,3,Strongly disagree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly agree,5,Both of You Equally,Both of You Equally,You,Your Partner,Your Partner,Both of You Equally,You,Both of You Equally,3,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,"2,3",Strongly disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Neither agree nor disagree,"1,5",Somewhat disagree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not Important To Me,Important To Me,Somewhat agree,Disagree,Somewhat disagree,Agree,Strongly agree,Strongly disagree,Somewhat agree,Disagree,Strongly disagree,Of Some Importance To Me,Of Little Importance To me,Important To Me,Strongly agree,1,Very justified,Neither justified or unjustified,Not justified at all,Not justified at all,Not justified at all,Neither justified or unjustified,Not justified at all,Neither justified or unjustified,Neither justified or unjustified,Not justified at all,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,5183834,60638524727078f941e4d973
953,R_2wFFoyNxlaeqKRW,604dedd2805fe682c5bc51c0,37,Female,White,European,University Post-Graduate Program,3,Disagree,Disagree,Disagree,2,Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,5,Your Partner,Your Partner,Your Partner,Your Partner,Your Partner,Your Partner,Both of You Equally,Both of You Equally,3,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,"2,3",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,"1,5",Disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Somewhat disagree,Of Some Importance To Me,Of Little Importance To me,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Very Important To me,Important To Me,Important To Me,Strongly agree,1,Slightly justified,Slightly justified,Not justified at all,Somewhat unjustified,Somewhat unjustified,Very justified,Somewhat unjustified,Not justified at all,Somewhat unjustified,Not justified at all,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,1528792,604dedd2805fe682c5bc51c0
1026,R_pudIBVwS7tlmoSZ,60521e44653a99113e8d7927,20,Male,White,European,University Undergraduate Program,3,Strongly disagree,Strongly disagree,Strongly disagree,2,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,5,Your Partner,Both of You Equally,Both of You Equally,Both of You Equally,You,Both of You Equally,Both of You Equally,Both of You Equally,3,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Slightly disagree,Neither agree nor disagree,"2,3",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,"1,5",Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Of Little Importance To me,Of Little Importance To me,Agree,Somewhat agree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Somewhat disagree,Extremely Important To Me,Very Important To me,Important To Me,Strongly agree,1,Very justified,Not justified at all,Not justified at all,Somewhat unjustified,Not justified at all,Slightly justified,Not justified at all,Not justified at all,Slightly justified,Slightly justified,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,8466813,60521e44653a99113e8d7927
